bzip2,1.0.8 1,https://github.com/kisslinux/repo,extra/bzip2,master,
libva-utils,2.12.0 1,https://github.com/kisslinux/repo,extra/libva-utils,master,
gperf,3.1 3,https://github.com/kisslinux/repo,extra/gperf,master,
scdoc,1.11.1 1,https://github.com/kisslinux/repo,extra/scdoc,master,
ttf-croscore,1.31.0 2,https://github.com/kisslinux/repo,extra/ttf-croscore,master,
cairo,1.16.0 1,https://github.com/kisslinux/repo,extra/cairo,master,
libelf,0.185 1,https://github.com/kisslinux/repo,extra/libelf,master,
fontconfig,2.13.94 2,https://github.com/kisslinux/repo,extra/fontconfig,master,
giflib,5.2.1 1,https://github.com/kisslinux/repo,extra/giflib,master,
intel-vaapi-driver,2.4.1 1,https://github.com/kisslinux/repo,extra/intel-vaapi-driver,master,
x264,20190812-2245 4,https://github.com/kisslinux/repo,extra/x264,master,
libogg,1.3.5 1,https://github.com/kisslinux/repo,extra/libogg,master,
perl,5.34.0 1,https://github.com/kisslinux/repo,extra/perl,master,
json-c,0.15 1,https://github.com/kisslinux/repo,extra/json-c,master,
pcre,8.45 1,https://github.com/kisslinux/repo,extra/pcre,master,
e2fsprogs,1.46.3 1,https://github.com/kisslinux/repo,extra/e2fsprogs,master,
rust,1.54.0 1,https://github.com/kisslinux/repo,extra/rust,master,
dosfstools,4.2 1,https://github.com/kisslinux/repo,extra/dosfstools,master,
libvpx,1.10.0 1,https://github.com/kisslinux/repo,extra/libvpx,master,
gtk+3,3.24.29 3,https://github.com/kisslinux/repo,extra/gtk+3,master,
strace,5.13 1,https://github.com/kisslinux/repo,extra/strace,master,
firefox-privacy,1.0 3,https://github.com/kisslinux/repo,extra/firefox-privacy,master,
llvm,12.0.1 1,https://github.com/kisslinux/repo,extra/llvm,master,
mesa,21.1.6 1,https://github.com/kisslinux/repo,extra/mesa,master,
nodejs,16.6.0 1,https://github.com/kisslinux/repo,extra/nodejs,master,
nasm,2.15.05 1,https://github.com/kisslinux/repo,extra/nasm,master,
hicolor-icon-theme,0.17 1,https://github.com/kisslinux/repo,extra/hicolor-icon-theme,master,
util-linux,2.37.1 1,https://github.com/kisslinux/repo,extra/util-linux,master,
freetype-harfbuzz,2.11.0+2.8.2 1,https://github.com/kisslinux/repo,extra/freetype-harfbuzz,master,
ssu,0.3.2 1,https://github.com/kisslinux/repo,extra/ssu,master,
vim,git 1,https://github.com/kisslinux/repo,extra/vim,master,
python,3.9.6 2,https://github.com/kisslinux/repo,extra/python,master,
adwaita-icon-theme,40.1.1 1,https://github.com/kisslinux/repo,extra/adwaita-icon-theme,master,
atk,2.36.0 1,https://github.com/kisslinux/repo,extra/atk,master,
mutt,2.1.1 1,https://github.com/kisslinux/repo,extra/mutt,master,
dhcpcd,9.4.0 2,https://github.com/kisslinux/repo,extra/dhcpcd,master,
libffi,3.4.2 2,https://github.com/kisslinux/repo,extra/libffi,master,
x265,3.5 1,https://github.com/kisslinux/repo,extra/x265,master,
ccache,4.3 1,https://github.com/kisslinux/repo,extra/ccache,master,
samurai,1.2 1,https://github.com/kisslinux/repo,extra/samurai,master,
cbindgen,0.20.0 1,https://github.com/kisslinux/repo,extra/cbindgen,master,
clang,12.0.1 1,https://github.com/kisslinux/repo,extra/clang,master,
expat,2.4.1 1,https://github.com/kisslinux/repo,extra/expat,master,
eiwd,1.15 1,https://github.com/kisslinux/repo,extra/eiwd,master,
alsa-utils,1.2.5.1 1,https://github.com/kisslinux/repo,extra/alsa-utils,master,
openssh,8.6p1 2,https://github.com/kisslinux/repo,extra/openssh,master,
ncurses,6.2 5,https://github.com/kisslinux/repo,extra/ncurses,master,
firefox-beta,91.0b9 2,https://github.com/kisslinux/repo,extra/firefox-beta,master,
zstd,1.5.0 1,https://github.com/kisslinux/repo,extra/zstd,master,
mpv,0.33.1 1,https://github.com/kisslinux/repo,extra/mpv,master,
gnugrep,3.6 1,https://github.com/kisslinux/repo,extra/gnugrep,master,
man-pages,5.12 1,https://github.com/kisslinux/repo,extra/man-pages,master,
alsa-lib,1.2.5.1 1,https://github.com/kisslinux/repo,extra/alsa-lib,master,
pkgconf,1.8.0 1,https://github.com/kisslinux/repo,extra/pkgconf,master,
opus,1.3.1 1,https://github.com/kisslinux/repo,extra/opus,master,
tzdata,2021a 1,https://github.com/kisslinux/repo,extra/tzdata,master,
libtheora,1.1.1 2,https://github.com/kisslinux/repo,extra/libtheora,master,
meson,0.59.0 1,https://github.com/kisslinux/repo,extra/meson,master,
ffmpeg,4.4 1,https://github.com/kisslinux/repo,extra/ffmpeg,master,
glib,2.68.3 1,https://github.com/kisslinux/repo,extra/glib,master,
libpng,1.6.37 2,https://github.com/kisslinux/repo,extra/libpng,master,
gdk-pixbuf,2.42.6 1,https://github.com/kisslinux/repo,extra/gdk-pixbuf,master,
sqlite,3.36.0 1,https://github.com/kisslinux/repo,extra/sqlite,master,
firefox,90.0.2 1,https://github.com/kisslinux/repo,extra/firefox,master,
libvorbis,1.3.7 1,https://github.com/kisslinux/repo,extra/libvorbis,master,
libudev-zero,0.5.2 1,https://github.com/kisslinux/repo,extra/libudev-zero,master,
rsync,3.2.3 1,https://github.com/kisslinux/repo,extra/rsync,master,
xvidcore,1.3.7 1,https://github.com/kisslinux/repo,extra/xvidcore,master,
gnupg1,1.4.23 2,https://github.com/kisslinux/repo,extra/gnupg1,master,
wpa_supplicant,2.9 4,https://github.com/kisslinux/repo,extra/wpa_supplicant,master,
libepoxy,1.5.8 1,https://github.com/kisslinux/repo,extra/libepoxy,master,
libva,2.12.0 1,https://github.com/kisslinux/repo,extra/libva,master,
efivar,cff88dd96b9d43e2c5875a24ba6180b196890ded 1,https://github.com/kisslinux/repo,extra/efivar,master,
openresolv,3.12.0 1,https://github.com/kisslinux/repo,extra/openresolv,master,
tiff,4.3.0 1,https://github.com/kisslinux/repo,extra/tiff,master,
libwebp,1.2.0 1,https://github.com/kisslinux/repo,extra/libwebp,master,
opendoas,6.8.1 1,https://github.com/kisslinux/repo,extra/opendoas,master,
cmake,3.21.1 1,https://github.com/kisslinux/repo,extra/cmake,master,
efibootmgr,4069341e184471dccf407ca8410daa4c4fd634f5 1,https://github.com/kisslinux/repo,extra/efibootmgr,master,
mandoc,1.14.5 4,https://github.com/kisslinux/repo,extra/mandoc,master,
libass,0.15.1 1,https://github.com/kisslinux/repo,extra/libass,master,
libjpeg-turbo,2.1.0 1,https://github.com/kisslinux/repo,extra/libjpeg-turbo,master,
lame,3.100 2,https://github.com/kisslinux/repo,extra/lame,master,
pango,1.48.7 1,https://github.com/kisslinux/repo,extra/pango,master,
git,2.32.0 1,https://github.com/kisslinux/repo,core/git,master,
pigz,2.6 2,https://github.com/kisslinux/repo,core/pigz,master,
zlib,1.2.11 3,https://github.com/kisslinux/repo,core/zlib,master,
make,4.3 1,https://github.com/kisslinux/repo,core/make,master,
kiss,5.5.25 1,https://github.com/kisslinux/repo,core/kiss,master,
curl,7.78.0 1,https://github.com/kisslinux/repo,core/curl,master,
binutils,2.37 2,https://github.com/kisslinux/repo,core/binutils,master,
flex,2.6.4 4,https://github.com/kisslinux/repo,core/flex,master,
openssl,1.1.1k 1,https://github.com/kisslinux/repo,core/openssl,master,
busybox,1.33.1 5,https://github.com/kisslinux/repo,core/busybox,master,
m4,1.4.19 1,https://github.com/kisslinux/repo,core/m4,master,
musl,1.2.2 1,https://github.com/kisslinux/repo,core/musl,master,
baseinit,1.0.3 1,https://github.com/kisslinux/repo,core/baseinit,master,
baselayout,1 8,https://github.com/kisslinux/repo,core/baselayout,master,
bison,3.7.6 1,https://github.com/kisslinux/repo,core/bison,master,
xz,5.2.5 1,https://github.com/kisslinux/repo,core/xz,master,
grub,2.06 1,https://github.com/kisslinux/repo,core/grub,master,
linux-headers,5.10.54 1,https://github.com/kisslinux/repo,core/linux-headers,master,
gcc,11.2.0 1,https://github.com/kisslinux/repo,core/gcc,master,
wlsunset,0.2.0 1,https://github.com/kisslinux/repo,wayland/wlsunset,master,
pixman,0.40.0 1,https://github.com/kisslinux/repo,wayland/pixman,master,
slurp,1.3.2 1,https://github.com/kisslinux/repo,wayland/slurp,master,
libpciaccess,0.16 1,https://github.com/kisslinux/repo,wayland/libpciaccess,master,
xkeyboard-config,2.33 1,https://github.com/kisslinux/repo,wayland/xkeyboard-config,master,
libxkbcommon,1.3.0 1,https://github.com/kisslinux/repo,wayland/libxkbcommon,master,
sway-no-seat,6ffa4b1f7000cd90d63213820039ee432803e66a 1,https://github.com/kisslinux/repo,wayland/sway-no-seat,master,
libseat,0.5.0 2,https://github.com/kisslinux/repo,wayland/libseat,master,
foot,8bdd019227225c94fa6e282d941ffbc09fd7a81c 1,https://github.com/kisslinux/repo,wayland/foot,master,
grim,1.3.2 1,https://github.com/kisslinux/repo,wayland/grim,master,
libdrm,2.4.107 1,https://github.com/kisslinux/repo,wayland/libdrm,master,
wayland-protocols,1.21 1,https://github.com/kisslinux/repo,wayland/wayland-protocols,master,
libinput,1.18.0 2,https://github.com/kisslinux/repo,wayland/libinput,master,
sway-tiny,8ac2be771a86c0d6579604c3ede628e532ec6c09 1,https://github.com/kisslinux/repo,wayland/sway-tiny,master,
wlroots,0.14.1 1,https://github.com/kisslinux/repo,wayland/wlroots,master,
foot-pgo,symlink,https://github.com/kisslinux/repo,wayland/foot-pgo,master,
wayland,1.19.0 1,https://github.com/kisslinux/repo,wayland/wayland,master,
wbg,1.0.2 1,https://github.com/kisslinux/repo,wayland/wbg,master,
sway,1.6.1 2,https://github.com/kisslinux/repo,wayland/sway,master,
wl-clipboard,d2c32f2b4d469f53070e8c4052dea6f412de3916 1,https://github.com/kisslinux/repo,wayland/wl-clipboard,master,
